Gene	Function	Reference	Acc	HumanGeneName	Category	Evidence
MCP-1	Macrophage chemotactic protein, beta Chemokine	"Ueda et al, 1994; Ueda et al, 1997"	NM_002982	CCL2	Cytokines	D
MIG	Monokine induced by IFN-gamma	Bunting et al, 2007	NM_002416	CXCL9	Cytokines	D
MIP-1a	Macrophage inflammatory protein-1, b Chemokine	"Grove & Plumb, 1993; Widmer et al, 1993"	NM_002983	CCL3	Cytokines	D
MIP-1b			NM_002984	CCL4	Cytokines	D
aka	Lymphocyte activation gene-1	"Xu et al, 2002; Modi et al, 2001"	NM_002984	CCL4	Cytokines	D
MIP-2	Macrophage inflammatory protein-2, b Chemokine	"Widmer et al, 1993; Lee et al, 2005"	NM_002090	CXCL3	Cytokines	D
MIP-3a	Macrophage inflammatory protein-3a	"Kwon et al, 2002; Tomimori et al, 2007"	NM_004591	CCL20	Cytokines	D
mob-1	A C-X-C chemokine	Varley et al, 2003	NM_001565	CXCL10	Cytokines	P
Neutrophil activating peptide-78	Activates neutrophils	Keates et al., 2001	NM_002994	CXCL5	Cytokines	D
RANTES	Regulated upon Activation Normal T lymphocyte Expressed and Secreted,b Chemokine	Moriuchi et al, 1997	NM_002985	CCL5	Cytokines	D
TCA3	T-cell activation gene 3, beta chemokine	Oh & Metcalfe, 1994	NM_002981	CCL1	Cytokines	D
TNFalpha	Tumor necrosis factor alpha	"Shakhov et al, 1990; Collart et al, 1990"	NM_000594	TNF	Cytokines	D
TNFbeta	Tumor necrosis factor beta	"Paul et al, 1990; Messer et al, 1990"	NM_000595	LTA	Cytokines	D
TRAIL	Cytokine	"Baetu et al, 2001; Matsuda et al, 2005"	NM_003810	TNFSF10	Cytokines	D
TFF3	Peptide in response to gut irritation	Baus-Loncar et al, 2004	NM_003226	TFF3	Cytokines	D
VEGI	Vascular endothelial growth inhibitor	Xiao et al, 2005	NM_005118	TNFSF15	Cytokines	D
B7.1	Co-stimulation of T cells via CD28 binding	"Fong et al, 1996; Zhao et al, 1996"	NM_005191	CD80	Immunoreceptors	D
BRL-1	B-cell homing receptor	Wolf et al, 1998	NM_001716	BLR1	Immunoreceptors	D
CCR5	Chemokine receptor	Liu et al, 1998	NM_000579	CCR5	Immunoreceptors	D
CCR7	Chemokine receptor	Hopken et al, 2002	NM_001838	CCR7	Immunoreceptors	D
CXCR	Chemokine receptor	Maxwell et al, 2007	NM_000634	IL8RA	Immunoreceptors	D
CXCR2	Chemokine receptor	Maxwell et al, 2007	NM_001557	IL8RB	Immunoreceptors	D
CD137	TNF-like receptor	Kim et al, 2003	NM_001561	TNFRSF9	Immunoreceptors	D
CD154	CD40 ligand	"Srahna et al, 2001; Schubert et al, 2002; Pham et al, 2005"	NM_000074	CD40LG	Immunoreceptors	D
CD3gamma	T-cell marker	Willard-Gallo et al, 2005	NM_000073	CD3G	Immunoreceptors	D
CD21	B-cell surface molecule	Debnath et al, 2007	NM_001006658	CR2	Immunoreceptors	D
CD38	NAD to cADP ribose converting molecule	"Kang et al, 2006; Tirumurugaan et al, 2008"	NM_001775	CD38	Immunoreceptors	D
CD40	TNF-receptor family member	Hinz et al, 2001	NM_001250	CD40	Immunoreceptors	D
CD48	Antigen of stimulated lymphocytes	Klaman & Thorley-Lawson, 1995	NM_001778	CD48	Immunoreceptors	D
CD83	T-cell development molecule	"McKinsey et al, 2000; Berchtold et al, 2002"	NM_004233	CD83	Immunoreceptors	D
CD86	Dendritic cell development molecule	Zou & Hu, 2005	NM_175862	CD86	Immunoreceptors	D
CD98	Membrane receptor, survival blood cells	Yan et al, 2006	NM_001012661	SLC3A2	Immunoreceptors	D
CD134	TNF-like receptor	Tone et al, 2007	NM_003327	TNFRSF4	Immunoreceptors	D
F11-receptor	Ig-like receptor for platelet adhesion	Sobocki et al, 2005	NM_016946	F11R	Immunoreceptors	P
FcRn	Neonatal receptor for IgG	Liu et al, 2007	NM_004107	FCGRT	Immunoreceptors	D
Fc epsilon receptor II	Receptor for IgE	"Richards & Katz, 1997; Lu et al, 2006; Debnath et al, 2007"	NM_002002	FCER2	Immunoreceptors	D
HLA-G	Human leukocyte antigen-G	Langat et al., 2007	NM_002127	HLA-G	Immunoreceptors	D
ICOS	T-cell activation factor	Shilling et al., 2005	NM_012092	ICOS	Immunoreceptors	P
IL-2 receptor a-chain	IL-2 receptor subunit	Ballard et al., 1988	NM_000417	IL2RA	Immunoreceptors	D
Immunoglobulin Cgamma1	IgG heavy chain	Lin & Stavnezer, 1996	J00230	IGHG2	Immunoreceptors	D
Immunoglobulin gamma1	IgG heavy chain	Dryer & Covey, 2005	J00228	IGHG1	Immunoreceptors	D
Immunoglobulin gamma4	IgG heavy chain	Agresti & Vercelli, 2002	K01316	IGHG4	Immunoreceptors	D
Immunoglobulin e heavy chain	IgE heavy chain	Iciek et al, 1997	J00222	IGHE	Immunoreceptors	D
Immunoglobulin k light chain	Antibody light chain	Sen & Baltimore, 1986	J00241	IGKC	Immunoreceptors	D
Kinin B1 Receptor	"Cardiovascular homeostasis; inflammation"	Merino et al, 2005	NM_000710	BDKRB1	Immunoreceptors	D
MHC Class I HLA-B7	Major histocompatibility antigen	Johnson & Pober, 1994	NM_005514	HLA-B	Immunoreceptors	D
b2 Microglobulin	Chaperone for MHC class I-like molecules	"Israël et al, 1989a; Israël et al, 1989b; Gobin et al, 2002"	NM_004048	B2M	Immunoreceptors	D
Nod2	Intracellular pathogen recognition	Gutierrez et al, 2002	NM_022162	NOD2	Immunoreceptors	D
Polymeric Ig receptor	Binds Ig	Schjerven et al, 2001	AJ276452	pIgR	Immunoreceptors	D
PGRP-S	Peptidoglycan recognition protein-S	Lang et al, 2007	NM_005091	PGLYRP1	Immunoreceptors	D
T-cell receptor b chain	T-cell receptor subunit	"Jamieson et al, 1989; McMillan & SIkes, 2008"	NG_001333	TCRB	Immunoreceptors	D
T-cell receptor	T-cell receptor subunit	Badran et al, 2002	NM_000073	CD3G	Immunoreceptors	D
TLR-2	Toll-like receptor	"Wang et al, 2001; Johnson & Tapping, 2007"	NM_003264	TLR2	Immunoreceptors	D
TLR9	Toll-like receptor	Takeshita et al, 2004	NM_017442	TLR9	Immunoreceptors	D
TNF-Receptor	High-affinity TNF receptor	Santee & Owen-Schaub, 1996	NM_001066	TNFRSF1B	Immunoreceptors	P
TREM-1	Neutrophil/monocyte Ig receptor	Zeng et al, 2007	NM_018643	TREM1	Immunoreceptors	D
Complement B	Activator of alternative complement pathway	Huang et al, 2002	NM_001710	CFB	AntigenPresentation	D
Complement component 3	Component of complement pathway	Moon et al, 1999	NM_000064	C3	AntigenPresentation	D
Complement Receptor 2	Complement receptor for B-cell response to Ag	Tolnay et al, 2002	NM_001006658	CR2	AntigenPresentation	D
Proteasome Subunit LMP2	Subunit of 26S proteasome,cysteine protease	"Wright et al, 1995; Marques et al, 2004"	NM_002800	PSMB9	AntigenPresentation	D
Peptide Transporter TAP1	Peptide transporter for ER	"Wright et al, 1995; Marques et al, 2004"	NM_000593	TAP1	AntigenPresentation	D
Tapasin	MHC class I presentation and assembly	Herrmann et al, 2003	NM_003190	TAPBP	AntigenPresentation	D
CD44	Cell-surface receptor for hyaluronic acid	Hinz et al, 2002	NP_000601	CD44	Adhesion	D
DC-SIGN	Dendritic cell surface C-type lectin	Liu et al, 2003	NM_021155	CD209	Adhesion	D
ELAM-1	E-selectin, endothelial cell leukocyte adhesion molecule	"Whelan et al, 1991; Schindler & Baichwal, 1994"	NM_000450	SELE	Adhesion	D
Endoglin	Endothelial cell membrane glycoprotein	Botella et al, 2002	NM_000118	ENG	Adhesion	D
Fibronectin	Extracellular attachment	"Lee et al, 2002; Norton et al, 2004"	NM_002026	FN1	Adhesion	D
ICAM-1	Intercellular adhesion molecule-1	"van de Stolpe et al., 1994; Bunting et al, 2007"	NM_000201	CD54	Adhesion	D
MadCAM-1	Mucosal addressin cell adhesion molecule	Takeuchi & Baichwal, 1995	NM_130760	MADCAM1	Adhesion	D
NCAM	Neural cell adhesion molecule	Simpson & Morris, 2000	NM_000615	NCAM	Adhesion	D
P-selectin	Platelet adhesion receptor	Pan & McEver, 1995	NM_003005	SELP	Adhesion	D
Tenascin-C	ECM protein controls cell attachment and migration, cell growth	Mettouchi et al, 1997	NM_002160	TNC	Adhesion	D
VCAM-1	Vascular cell adhesion molecule	Iademarco et al, 1992	NM_001078	VCAM1	Adhesion	D
Angiotensinogen	Angiotensin precursor, regulates blood pressure	"Brasier et al, 1990; Ron et al, 1990"	NM_000029	AGT	AcutePhase	D
beta-defensin-2	Anti-microbial peptide	"Diamond et al, 2000; Tsutsumi-Ishii & Nagaoka, 2002; Kao et al, 2008"	AF040153	DEFB2	AcutePhase	D
C4b binding protein	Complement binding protein	Moffat & Tack, 1992	NM_000715	C4BPA	AcutePhase	D
Complement factor B	Complement factor	Nonaka & Huang, 1990	NM_001710	CFB	AcutePhase	D
Complement factor C4	Activates extrinsic pathway of complement activation	Yu et al, 1989	NM_007293	C4A	AcutePhase	D
C-reactive protein	Host defense protein	"Zhang et al, 1995; Agrawal et al, 2003a"	NM_000567	CRP	AcutePhase	D
Hepcidin	Acute phase protein	Liao et al, 2006	NM_021175	HAMP	AcutePhase	D
Lipopolysaccharide binding protein	Binds to LPS receptor (CD14) with LPS	Schumann, 1995	NM_004139	LBP	AcutePhase	D
Pentraxin PTX3	Pentraxin	Basile et al, 1997	NM_002852	PTX3	AcutePhase	D
Serum amyloid A proteins (SAA1, SAA2, SAA3)	Serum components	"Edbrooke et al, 1991; Li & Liao, 1991; Thorn & Whitehead, 2002; Son et al, 2004"	NM_000331	SAA1	AcutePhase	D
Serum amyloid A proteins (SAA1, SAA2, SAA3)	Serum components		NM_030754	SAA2	AcutePhase	D
Serum amyloid A proteins (SAA1, SAA2, SAA3)	Serum components		S73444	SAA3	AcutePhase	D
Tissue factor-1	Activates extrinsic pathway of complement activation	Mackman et al, 1991	NM_001993	F3	AcutePhase	D
Urokinase-type plasminogen activator	Activates fibrinogen for fibrin clot lysis	Novak et al, 1991	NM_002658	PLAU	AcutePhase	D
CYP2E1	Cytochrome p450	Abdel-Razak et al, 2004	NM_000773	CYP2E1	StressResponse	P
CYP2C11	Cytochrome p450	Morgan et al, 2002	X79081	CYP2C11	StressResponse	D
CYP7b	Cytochrome p450	Dulos et al, 2005	NM_004820	CYP7B1	StressResponse	D
COX-2	Cyclooxygenase, prostaglandin endoperoxide synthase	"Yamamoto et al, 1995;Ackerman et al, 2008; Kaltschmidt et al, 2002"	NM_000963	PTGS2	StressResponse	D
Ferritin H chain	Iron storage protein	Kwak et al, 1995	NM_002032	FTH1	StressResponse	D
Glutamate-cysteine ligase	GSH biosynthesis	Peng et al, 2010		GCLC	StressResponse	D
Glutamate-cysteine ligase modifier	GCLC modifier protein	Peng et al, 2010		GCLM	StressResponse	D
HSP90-alpha	Heat shock protein	Ammirante et al, 2007	NM_001017963	HSP90AA1	StressResponse	D
5-Lipoxygenase (guinea pig)	Arachidonic acid metabolic enzyme, leukotriene synthesis	Chopra et al, 1992	XM_001127464	ALOX5	StressResponse	P
12-Lipoxygenase	Arachidonic acid metabolic enzyme	Arakawa et al, 1995	NM_000697	ALOX12	StressResponse	D
Inducible NO-Synthase	NO synthesis	Geller et al, 1993	NM_000625	NOS2A	StressResponse	D
MAP4K1	Activator of stress-induced protein kinase pathway	Carter et al, 2002	NM_001042600	MAP4K1	StressResponse	P
SENP2	SUMO-specific protease	S Miyamoto, pers commun	NC_0000013.10	SENP2	StressResponse	D
Cu/Zn SOD	Superoxide dismutase	Rojo et al, 2004	NM_000454	SOD1	StressResponse	D
SOD1	Manganese uperoxide dismutase	Das et al, 1995	NM_000454	SOD1	StressResponse	D
SOD2	Manganese superoxide dismutase	"Xu et al, 1999a; 1991b; 2007a; 2007b"	NM_000636	SOD2	StressResponse	D
Mx1	Viral resistance gene	Gerardin et al, 2004	NM_002462	MX1	StressResponse	P
NAD(P)H quinone oxidoreductase (DT-diaphorase)	Bioreductive enzyme	Yao & O’Dwyer, 1995	NM_000903	NQO1	StressResponse	D
Phospholipase A2	Fatty acid metabolism	Morri et al, 1994	AF058921	PLA2	StressResponse	D
SEPS1	Involved in cytokine production	Gao et al, 2006	NM_018445	SELS	StressResponse	D
ABCA1	ATP-binding cassette transporter	Gerbod-Giannone et al, 2006	NM_005502	ABCA1	SurfaceReceptors	D
ABCC6	ATP-binding, multidrug resistance-associated protein 6 transporter	Jiang et al, 2005	NM_001171	ABCC6	SurfaceReceptors	D
A1 adenosine receptor	Pleiotropic physiological effects	"Nie et al, 1998; Jhaveri et al, 2007"	NM_000674	ADORA1	SurfaceReceptors	D
A2A	Adenosine receptor	Morello et al, 2006	NM_000675	ADORA2A	SurfaceReceptors	D
ADAM19	Dendritic cell marker	Ehrnsperger et al, 2005	NM_023038	ADAM19	SurfaceReceptors	P
Amiloride-sensitive sodium channel	Sodium channel	"Baines et al, 2002; Haddad, 2005"	NM_001038	SCNN1A	SurfaceReceptors	D
alpha2B-adrenergic receptor	adrenergic receptor	Cayla et al, 2004	NM_000682	ADRA2B	SurfaceReceptors	P
Bradykinin B1-Receptor	Pleiotropic physiological effects	Ni et al, 1998	NM_000710	BDKRB1	SurfaceReceptors	D
CD23	Cell-surface molecule	Tinnell et al, 1998	NM_002002	FCER2/CD23	SurfaceReceptors	P
CD69	Lectin mainly on activated T cells	Lopez-Cabrera et al, 1995	NM_001781	C69	SurfaceReceptors	D
DOR	Delta opiod receptor	Chen et al, 2005, 2006	NM_000911	OPRD1	SurfaceReceptors	D
Epidermal Growth Factor Receptor	Receptor for EGF	"Nishi et al, 2003; Thornburg & Raab-Traub, 2007"	NM_005228	EGFR	SurfaceReceptors	D
ErbB2	EGF-like receptor	Kitamura et al, 2005	NM_001005862	ERBB2	SurfaceReceptors	D
Gal1 Receptor	Galanin receptor, neuroendocrine peptide	Lorimer et al, 1997	NM_002256	KISS1	SurfaceReceptors	D
Lox-1	Receptor for Oxidized low density lipoprotein	Nagase et al, 1998	NM_002543	OLR1	SurfaceReceptors	D
Ly49	Receptor on NK cells	Pascal et al, 2007	NM_006611	KLRA1	SurfaceReceptors	D
Mdr1	Multiple drug resistance mediator (P-glycoprotein)	"Zhou & Kuo, 1997; Wang et al, 2007"	NM_018849	ABCB4	SurfaceReceptors	D
Mu-opioid receptor	Opioid Receptor	Kraus et al, 2003	EU360599	OPRM1	SurfaceReceptors	D
mGlu2	Metabotropic glutamate receptor 2	Chiechio et al, 2006	NM_000839	GRM2	SurfaceReceptors	D
Neuropeptide Y-Y1 receptor	Pleiotropic physiological effects	Musso et al, 1997	NM_000909	NPY1R	SurfaceReceptors	D
NMDA receptor subunit 2A (rat)	Neural receptor for N-methyl-D-aspartate	Richter et al, 2002	NM_000833	GRIN2A	SurfaceReceptors	P
NMDA receptor subunit NR-1 (GRIN1 gene)	Subunit of neural receptor for N-methyl-D-aspartate	Begni et al, 2003	NM_021569	GRIN1	SurfaceReceptors	P
Oxytocin receptor	Oxytocin receptor	Terizidou et al, 2006	NM_000916	OXTR	SurfaceReceptors	D
PAF receptor 1	Platelet activator receptor	Mutoh et al, 1994	NM_000952	PTAFR	SurfaceReceptors	D
P-gp	P-glycoprotein-Drug resistance	Wang et al, 2007	NM_000927	ABCB1	SurfaceReceptors	D
RAGE- receptor for advanced glycation end products	Receptor for Advanced Glycation End products	Li & Schmidt, 1997	NM_001136	AGER	SurfaceReceptors	D
ASC	Apoptosis-associated speck-like protein containing a CARD	Sun et al, 2007	NM_013258	PYCARD	Apoptosis	D
Bax	Pro-apoptotic Bcl-2 homologue	Grimm et al, 2004	NM_004324	BAX	Apoptosis	D
Bfl1/A1	Pro-survival Bcl-2 homologue	"Grumont et al, 1999; Zong et al, 1999"	NM_004049	BCL2A1	Apoptosis	D
Bcl-xL	Pro-survival Bcl-2 homologue	"Chen et al, 1999; Lee et al, 1999"	NM_138578	BCL2L1	Apoptosis	D
Bcl-2	Pro-survival factor	Catz & Johnson, 2001	NM_000633	BCL2	Apoptosis	D
Bim	Pro-apoptotic Bcl-2 homolog	Wang et al, 2008	NM_138621	BCL2L11	Apoptosis	D
B7-H1	Programmed cell death ligand 1	Lee et al, 2005	NM_014143	CD274	Apoptosis	D
BNIP3	Hypoxia-inducible death factor	"Baetz et al, 2005; Shaw et al, 2006"	NM_004052	BNIP3	Apoptosis	D
Caspase-11	Caspase	Schauvliege et al, 2002	NM_001225	CASP4	Apoptosis	D
c-FLIP	Pro-survival factor	Kreuz et al, 2001	NM_003879	CFLAR	Apoptosis	D
CD95 (Fas)	Pro-apoptotic receptor	"Chan et al, 1999; Zhou et al, 2005; Singh et al, 2006"	NM_000043	FAS	Apoptosis	D
CIDEA	Cell death-inducing DFFA-like effector A	Pettersson et al, 2008	"NP_001270.1; NP_938031.1"	CIDEA	Apoptosis	D
Fas-associated phosphatase-1	Protein phosphatase	Irie et al, 2001	NM_006264	PTPN13	Apoptosis	P
Fas-Ligand	Inducer of apoptosis	"Matsui et al, 1998; Singh et al, 2006"	NM_000639	FASLG	Apoptosis	D
IAPs	Inhibitors of Apoptosis	"You et al, 1997; Stehlik et al, 1998a, 1998b"			Apoptosis	D
IEX-1L	Immediate early gene	Wu et al, 1998	NM_052815	IER3	Apoptosis	D
TRAF-1	TNF-receptor associated factor	Schwenzer et al, 1999	NM_005658	TRAF1	Apoptosis	D
TRAF-2	TNF-receptor associated factor	Wang et al, 1998	NM_021138	TRAF2	Apoptosis	D
TRAF-2 binding protein (Carp)	TRAF2 binding protein	Chang et al, 2005	NM_052864	TIFA	Apoptosis	P
XIAP	X-linked inhibitor of apoptosis	Turner et al, 2007	NM_001167	XIAP	Apoptosis	D
Activin A	TGF-beta-like factor	Alexander et al, 2007	NM_002192	INHBA	GrowthFactors	D
Angiopoietin	Tie-2 receptor ligand	Scott et al, 2005	NM_001146	ANGPT1	GrowthFactors	D
BCAP	B-cell Adaptor for Phosphoinositide 3-kinase	Gupta et al, 2008	NM_152309	PI3KAP1	GrowthFactors	D
BDNF	Brain-derived neurotrophic factor	Saha et al, 2007	NM_001709	BDNF	GrowthFactors	D
BLyS	B-lymphocyte stimulator	Fu et al, 2006	NM_006573	TNFSF13B	GrowthFactors	D
BLNK	B-cell linker	Gupta et al, 2008	NM_013314	BLNK	GrowthFactors	D
BMP-2	Bone Morphogenic Protein-2	"Feng et al, 2003; Fukui et al, 2006"	NM_001200	BMP2	GrowthFactors	D
BMP-4	Bone Morphogenic Protein-4	Zhu et al, 2007	NM_001202	BMP4	GrowthFactors	D
CGRP	Calcitonin gene-related peptide	Bowen et al, 2005	NM_000728	CALCB	GrowthFactors	D
FGF8	Fibroblast Growth Factor 8	Armstrong et al, 2006	NM_006119	FGF8	GrowthFactors	D
FLRG	Follistatin-related gene	Bartholin et al, 2007	NM_005860	FSTL3	GrowthFactors	D
G-CSF	Granulocyte Colony Stimulating Factor	Nishizawa & Nagata, 1990	NM_000759	CSF3	GrowthFactors	D
GM-CSF	Granulocyte Macrophage Colony Stimulating Factor	"Schreck & Baeuerle, 1990; Bunting et al, 2007"	NM_000758	CSF2	GrowthFactors	D
HGF/SF	Hepatocyte growth factor/scatter factor	Harrison & Farzaneh, 2000	NM_000601	HGF	GrowthFactors	P
EPO	Erythropoietin	Figueroa et al, 2002	NM_000799	EPO	GrowthFactors	D
IGFBP-1	Insulin-like growth factor binding protein-1	Lang et al, 1999	NM_001013029	IGFBP1	GrowthFactors	P
IGFBP-2	Insulin-like growth factor binding protein-2	Cazals et al, 1999	NM_000597	IGFBP2	GrowthFactors	D
M-CSF (CSF-1)	Macrophage Colony Stimulating Factor	"Brach et al, 1991; Hohensinner et al, 2007"	NM_000757	CSF1	GrowthFactors	D
Midkine (neurite growth promoting factor-2)	Heparin Binding Growth Factor	You et al, 2008	NM_001012334	MDK	GrowthFactors	D
NGF	Nerve Growth Factor	Heese et al, 2006	NM_002506	NGFB	GrowthFactors	D
NK-1R	Neurokinin-1 Receptor	"Simeonidis et al, 2003; Ramkissoon et al, 2007"	NM_015727	TACR1	GrowthFactors	D
NK4	Hepatocyte growth factor	Zhou et al, 2003	NM_001012635	NK4	GrowthFactors	D
Nrg1	Neuregulin	Frensing et al, 2007	NM_004495	NRG1	GrowthFactors	D
OPN	Osteopontin	Samant et al, 2007	NM_001040058	SPP1	GrowthFactors	D
PDGF B chain	Platelet-derived Growth Factor	"Khachigian et al, 1995; Au et al, 2005"	NM_002608	PDGFB	GrowthFactors	D
PlGF	Placenta Growth Factor	Cramer et al, 2005	NM_002643	PIGF	GrowthFactors	D
Proenkephalin	Hormone	Rattner et al, 1991	NM_006211	PENK	GrowthFactors	D
Prolactin	Pituitary hormone	Friedrichsen et al, 2005	NM_000948	PRL	GrowthFactors	D
Stem Cell Factor	Mast Cell Growth Factor	"Da Silva et al, 2003; 2004"	NM_000899	KITLG	GrowthFactors	D
Thrombospondin-1 (TSP-1)	Matrix glycoprotein t	Yang et al, 2003	NM_003246	THBS1	GrowthFactors	P
Thrombospondin-2 (THBS2)	Matrix glycoprotein t	Adolph et al, 1997	NM_003247	THBS2	GrowthFactors	P
VEGF C	Vascular Endothelial Growth Factor	Chilov et al, 1997	NM_005429	VEGFC	GrowthFactors	D
WNT10B	Secreted glycoprotein	Katoh & Katoh, 2007	NM_003394	WNT10B	GrowthFactors	P
B94	Early response gene	Zhou et al, 2003	NM_006291	TNFAIP2	EarlyResponse	P
Egr-1	"Mitogen-induced early response gene; zinc finger"	Zhou et al, 2003	NM_001964	EGR1	EarlyResponse	P
p22/PRG1	Rat homologue of IEX	Schafer et al, 1998	NM_052815	IER3	EarlyResponse	D
p62	Non-proteasomal multi-ubiquitin chain binding protein	Vadlamudi & Shin, 1998	NM_016221	DCTN4	EarlyResponse	P
TIEG	"TGF-b early response gene; zinc finger protein"	Zhou et al, 2003	NM_001032282	KLF10	EarlyResponse	P
A20	TNF-inducible zinc finger	Krikos et al, 1992	NM_006290	TNFAIP3	TranscriptionFactors	D
ABIN-3	NF-kB inhibitor	Verstrepen et al, 2007	NM_024873	TNIP3	TranscriptionFactors	D
Androgen receptor	Hormone receptor	Zhang et al, 2004	NM_000044	AR	TranscriptionFactors	D
Bcl-3	Coactivator for NF-kB p50 and p52	Brocke-Heidrich et al, 2006	NM_005178	BCL3	TranscriptionFactors	D
BMI-1	Polycomb chromatin modifier	Dutton et al, 2006	NM_005180	BMI1	TranscriptionFactors	D
CDX1	Homeobox protein	Wong et al, 2005	NM_001804	CDX1	TranscriptionFactors	D
c-fos (fish gene)	Proto-oncogene	Li et al, 2004	NM_005252	FOS	TranscriptionFactors	P
c-myb	Proto-oncogene	Toth et al, 1995	NM_005375	MYB	TranscriptionFactors	D
c-myc	Proto-oncogene	Duyao et al, 1990	NM_002467	MYC	TranscriptionFactors	D
c-rel	Proto-oncogene	"Hannink & Temin, 1990; Capobianco & Gilmore, 1991"	NM_002908	REL	TranscriptionFactors	D
C/EBPdelta	Transcription factor	Liu et al, 2007	NM_005195	CEBPD	TranscriptionFactors	D
