Name	Description	OMIM	Species	RefSeq_Human	Promoter	Ortholog_Mouse	Evidence
SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5 (GLUT5)	138230	human	NM_003039	NM_003039	NM_019741	D
STAT5A	signal transducer and activator of transcription 5A	601511	human	NM_003152	NM_003152	NM_011488	D
VIM	vimentin	193060	human	NM_003380	NM_003380	NM_011701	D
IER3	immediate early response 3 (IEX-1L)	602996	human	NM_003897	NM_003897	NM_133662	D
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	164011	human	NM_003998	NM_003998	NM_008689	D
BM2	beta-2-microglobulin	109700	human	NM_004048	NM_004048		D
BCL2A1	BCL2-related protein A1	601056	human	NM_004049	NM_004049	NM_009742	D
CCL15	chemokine (C-C motif) ligand 15 (MIP-3alpha)	601393	human	NM_004591	NM_004591		D
CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	604534	human	NM_004233	NM_004233	NM_009856	D
CD74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	142790	human	NM_004355	NM_004355	NM_010545	D
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) (ESE-1)	602191	human	NM_004433	NM_004433	NM_007921	D
TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	190196	human	NM_004613	NM_004613	NM_009373	D
DEFB4	defensin, beta 4	602056	human	NM_004942	NM_004942	NM_019728	D
MMP9	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	120361	human	NM_004994	NM_004994	NM_013599	D
BCL3	B-cell CLL/lymphoma 3	109560	human	NM_005178	NM_005178	NM_033601	D
CD80	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	112203	human	NM_005191	NM_005191	NM_009855	D
VEGF C	vascular endothelial growth factor C	601528	human	NM_005429	NM_005429	NM_009506	D
PLCD1	phospholipase C, delta 1	602142	human	NM_006225	NM_006225	NM_019676	D
TNFAIP3	tumor necrosis factor, alpha-induced protein 3 (A20)	191163	human	NM_006290	NM_006290	NM_009397	D
RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	604758	human	NM_006509	NM_006509	NM_009046	D
TFPI2	tissue factor pathway inhibitor 2	600033	human	NM_006528	NM_006528	NM_009364	D
BCL2	B-cell CLL/lymphoma 2	151430	human	NM_000657	NM_000657	NM_009741	D
S100A6	S100 calcium binding protein A6 (calcyclin)	114110	human	NM_014624	NM_014624	NM_011313	D
TACR1	tachykinin receptor 1, neurokinin 1 receptor (NK-1R)	162323	human	NM_015727	NM_015727	NM_009313	D
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	164008	human	NM_020529	NM_020529	NM_010907	D
CD209	antigen (DC-SIGN)	604672	human	NM_021155	NM_021155	NM_133238	D
CARD15	caspase recruitment domain family, member 15 (Nod2)	605956	human	NM_022162	NM_022162	NM_145857	D
CCND1	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	168461	human	NM_053056	NM_053056	NM_007631	D
KLK3	kallikrein 3, (prostate specific antigen)	176820	human	NM_145864	NM_145864		D
IL15	interleukin 15	600554	human	NM_172174	NM_172174	NM_008357	D
NR4A2	nuclear receptor subfamily 4, group A, member 2 (NURR1)	601828	human	NM_173173	NM_173173	NM_013613	D
HC3	proteasome subunit alpha-type 2 (PSMA2)		human	NM_002787	NM_002787	NM_008944	D
CYP2C11			human				P
NK4			human				P
AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	106150	human	NM_000029	NM_000029	NM_007428	P
WT1	Wilms tumor 1	607102	human	NM_000378	NM_000378	NM_144783	P
G6PD	glucose-6-phosphate dehydrogenase	305900	human	NM_000402	NM_000402	NM_008062	P
IL10	interleukin 10	124092	human	NM_000572	NM_000572	NM_010548	P
ORM1	orosomucoid 1, alpha-1 acid glycoprotein	138600	human	NM_000607	NM_000607	NM_008768	P
ADORA1	adenosine A1 receptor	102775	human	NM_000674	NM_000674		P
C4BPA	complement component 4 binding protein, alpha	120830	human	NM_000715	NM_000715	NM_007576	P
EPO	erythropoietin	133170	human	NM_000799	NM_000799	NM_007942	P
BIRC2	baculoviral IAP repeat-containing 2	601712	human	NM_001166	NM_001166	NM_007465	P
HAS1	hyaluronan synthase 1	601463	human	NM_001523	NM_001523	NM_008215	P
FCER2	Fc epsilon receptor II(CD23), Fc fragment of IgE, low affinity II, receptor for (CD23A)	151445	human	NM_002002	NM_002002	NM_013517	P
FN1	fibronectin 1	135600	human	NM_002026	NM_002026		P
JUNB	jun B proto-oncogene	165161	human	NM_002229	NM_002229	NM_008416	P
LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	153619	human	NM_002306	NM_002306	NM_010705	P
MMP8	matrix metalloproteinase 8 (neutrophil collagenase)	120355	human	NM_002424	NM_002424	NM_008611	P
MUC2	mucin 2, intestinal/tracheal	158370	human	NM_002457	NM_002457		P
PIM1	pim-1 oncogene	164960	human	NM_002648	NM_002648	NM_008842	P
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian) (c-rel)	164910	human	NM_002908	NM_002908	NM_009044	P
CCL3	chemokine (C-C motif) ligand 3 (MIP1alpha)	182283	human	NM_002983	NM_002983	NM_011337	P
CCL4	chemokine (C-C motif) ligand 4 (aka LAG-1)	182284	human	NM_002984	NM_002984	NM_013652	P
CFLAR	caspase-8-c-FLIP (flice inhibitory protein) and FADD-like apoptosis regulator	603599	human	NM_003879	NM_003879	NM_009805	P
BAX	BCL2-associated X protein	600040	human	NM_004324	NM_004324	NM_007527	P
PRF1	perforin 1 (pore forming protein)	170280	human	NM_005041	NM_005041	NM_011073	P
HBE1	hemoglobin, epsilon 1	142100	human	NM_005330	NM_005330		P
TRAF1	TNF receptor-associated factor 1	601711	human	NM_005658	NM_005658	NM_009421	P
CCL7	chemokine (C-C motif) ligand 7 (Mcp-3)		human	NM_006273	NM_006273	NM_013654	P
TNFRSF21	tumor necrosis factor receptor superfamily, member 21 (DR6)	605732	human	NM_014452	NM_014452	NM_178589	P
GADD45B	growth arrest and DNA-damage-inducible, beta	604948	human	NM_015675	NM_015675	NM_008655	P
TRAF2	TNF receptor-associated factor 2	601895	human	NM_021138	NM_021138	NM_009422	P
PDYN	prodynorphin (preproenkephalin)	131340	human	NM_024411	NM_024411	NM_018863	P
PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	600522	human	NM_024420	NM_024420	NM_008869	P
AR	"androgen receptor (dihydrotestosterone receptor; Testicular feminization; Spinal and bulbar muscular atrophy; Kennedy disease)"	313700	rat	NM_000044	NM_000044	NM_013476	D
SERPINA1	alpha antitrypsin, serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 (SERPINA1)	107400	rabbit	NM_000295	NM_000295	NM_009245	D
AMH	anti-Mullerian hormone	600957	mouse	NM_000479	NM_000479	NM_007445	D
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	103700	rat	NM_000667	NM_000667	NM_007409	D
NPY1R	neuropeptide Y receptor Y1	162641	mouse	NM_000909	NM_000909	NM_010934	D
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	171050	rat or mouse	NM_000927	NM_000927	NM_011076	D
PTGDS	Lipocalin-type prostaglandin D synthase : prostaglandin D2 synthase 21kDa (brain)	176803	rat	NM_000954	NM_000954	NM_008963	D
BMP2	bone morphogenetic protein 2	112261	mouse	NM_001200	NM_001200	NM_007553	D
CASP4	caspase 4, apoptosis-related cysteine protease	602664	mouse	NM_001225	NM_001225	NM_007609	D
TBR	T cell receptor beta locus	186930	mouse	NM_001333	NM_001333	NM_009984	D
CXCL10	chemokine (C-X-C motif) ligand 10 (IP-10)	147310	mouse	NM_001565	NM_001565	NM_021274	D
FN1	fibronectin 1	135600	rat	NM_002026	NM_002026		D
FTH1	ferritin H chain, heavy polypeptide 1	134770	rat	NM_002032	NM_002032	NM_010239 	D
CXCL2	chemokine (C-X-C motif) ligand 2 (MIP2)	139110	mouse	NM_002089	NM_002089	NM_009140	D
CXCL9	chemokine (C-X-C motif) ligand 9	601704	mouse	NM_002416	NM_002416	NM_008599	D
CCL4	chemokine (C-C motif) ligand 4 (MIP1beta)	182284	mouse	NM_002984	NM_002984	NM_013652	D
SIAT8A	sialyltransferase 8A (alpha-N-acetylneuraminate: alpha-2,8-sialyltransferase, GD3 synthase)	601123	mouse	NM_003034	NM_003034	NM_011374	D
TERT	telomerase reverse transcriptase	187270	mouse	NM_003219	NM_003219	NM_009354	D
ARFRP1	ADP-ribosylation factor related protein 1	604699	mouse	NM_003224	NM_003224	NM_029702	D
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	189990	mouse	NM_005375	NM_005375	NM_010848	D
PENK	proenkephalin	131330	rat	NM_006211	NM_006211		D
PLA2G4	phospholipase A2, group IVA (cytosolic, calcium-dependent)	600522	rat	NM_024420	NM_024420	NM_008869	D
	Mail	608004	mouse	NM_031419	NM_031419	NM_030612	D
MADCAM1	mucosal vascular addressin cell adhesion molecule 1	102670	mouse	NM_130760	NM_130760	NM_013591	D
TAPBP	TAP binding protein (tapasin)	601962	mouse	NM_172209	NM_172209	NM_009318	D
C4B	complement component 4B	120820	rat	NM_000592	NM_000592	NM_009780	P
JUNB	jun B proto-oncogene	165161	mouse	NM_002229	NM_002229	NM_008416	P
MMP8	matrix metalloproteinase 8 (neutrophil collagenase)	120355	rabbit	NM_002424	NM_002424	NM_008611	P
OLR1	oxidised low density lipoprotein (lectin-like) receptor 1 (lox1)	602601	rat	NM_002543	NM_002543	NM_138648	P
LAMC2	lamin chain beta, laminin, gamma 2	150292	mouse	NM_005562	NM_005562	NM_008485	P
